open,high,low,close,volume
0.9585,0.9609,0.9575,0.9602,84048.7
0.9604,0.9618,0.958,0.9609,139882.5
0.9605,0.9627,0.9599,0.9625,82464.0
0.9623,0.9643,0.9598,0.96,149584.5
0.9597,0.9597,0.9563,0.9564,124584.4
0.9569,0.9581,0.9546,0.9549,135860.1
0.9547,0.9566,0.9546,0.9548,59531.9
0.9548,0.9569,0.9537,0.9555,133919.3
0.9553,0.9572,0.9542,0.957,92484.1
0.9575,0.9576,0.9547,0.9566,324941.9
0.9565,0.9565,0.9488,0.9507,887740.4
0.9506,0.951,0.9458,0.9491,535813.8
0.9489,0.9504,0.9463,0.9473,168397.4
0.9473,0.9493,0.9451,0.9488,189475.2
0.9486,0.9488,0.9468,0.9472,80162.5
0.9474,0.9479,0.9432,0.9457,268808.0
0.9459,0.9481,0.9459,0.9469,67008.3
0.9469,0.9478,0.946,0.9473,65973.5
0.9472,0.9478,0.9421,0.9434,180146.4
0.9434,0.9481,0.9431,0.9451,187373.1
0.9451,0.9465,0.9377,0.9391,241277.4
0.9395,0.9438,0.9378,0.9404,148832.8
0.9406,0.9412,0.9339,0.9346,434582.3
0.9344,0.9406,0.9344,0.9379,233423.0
0.9381,0.9437,0.9381,0.9429,111967.6
0.9427,0.9427,0.9343,0.9379,165298.9
0.938,0.9386,0.9287,0.9301,192050.7
0.9302,0.9318,0.9253,0.9277,250780.6
0.9279,0.9303,0.925,0.9292,219101.3
0.9292,0.9309,0.9215,0.9232,332721.4
0.9232,0.927,0.9207,0.9254,176067.5
0.9253,0.9262,0.9187,0.9211,354341.2
0.9209,0.926,0.9193,0.9248,119399.2
0.9248,0.9274,0.9195,0.9196,279310.8
0.9197,0.9245,0.9196,0.9237,190369.3
0.9238,0.9274,0.9223,0.925,244077.3
0.9253,0.9283,0.9236,0.9279,112511.9
0.9278,0.9337,0.9277,0.9325,147085.7
0.9328,0.9366,0.9318,0.9344,72508.9
0.9334,0.9336,0.9291,0.9313,71004.7
0.9315,0.9317,0.9269,0.9279,65109.0
0.928,0.93,0.9207,0.9209,97528.8
0.9215,0.9243,0.9207,0.923,66569.6
0.9228,0.9248,0.918,0.9192,139172.0
0.9189,0.9223,0.9187,0.9205,77544.8
0.9208,0.9271,0.9204,0.927,61591.0
0.927,0.929,0.9246,0.9253,233269.2
0.9249,0.9281,0.9238,0.9269,74940.5
0.9271,0.9279,0.9253,0.9262,25798.8
0.9261,0.9295,0.9251,0.9295,71732.8
0.9295,0.9313,0.9283,0.9294,99364.1
0.9294,0.9321,0.9279,0.9313,89953.0
0.9312,0.9343,0.9307,0.9326,120914.6
0.9328,0.9376,0.9316,0.9371,155173.3
0.9372,0.9379,0.9349,0.9372,37351.3
0.9377,0.9398,0.9351,0.937,56411.8
0.9372,0.94,0.9372,0.9399,48395.8
0.94,0.9417,0.9391,0.9409,55261.3
0.9403,0.9405,0.9357,0.9357,19187.3
0.9358,0.9389,0.9335,0.9362,35433.8
0.9364,0.9371,0.9319,0.9332,20199.0
0.9332,0.9341,0.9319,0.9339,21494.4
0.9336,0.9353,0.9332,0.9335,42053.8
0.9334,0.9341,0.9273,0.9301,80884.1
0.9301,0.9303,0.9271,0.9278,53523.2
0.9279,0.9293,0.927,0.9284,32008.2
0.9282,0.9318,0.9275,0.9318,80294.5
0.9317,0.9348,0.9292,0.9343,140919.0
0.9337,0.9344,0.9323,0.9334,40932.7
0.934,0.9356,0.9288,0.93,244632.5
0.929,0.9311,0.9271,0.9271,61282.9
0.9274,0.9297,0.9259,0.9265,84717.9
0.9264,0.9305,0.9243,0.9294,107379.2
0.929,0.929,0.9248,0.9257,82909.6
0.9257,0.9269,0.92,0.9204,135109.4
0.9205,0.9235,0.9176,0.9225,263995.8
0.9223,0.9259,0.9154,0.916,303084.6
0.9154,0.9176,0.8983,0.9024,1027933.4
0.9023,0.9088,0.8961,0.907,867194.6
0.9066,0.9103,0.8973,0.9081,349270.4
0.9082,0.9093,0.9022,0.9024,185503.1
0.9024,0.9087,0.9014,0.9073,131257.5
0.9073,0.9111,0.9069,0.9073,94284.1
0.9076,0.9148,0.9068,0.9143,85993.1
0.9142,0.9161,0.9114,0.9152,69792.3
0.9152,0.9175,0.9132,0.9135,133394.0
0.9135,0.9169,0.9131,0.9158,61836.1
0.9158,0.918,0.9142,0.9142,40578.7
0.9147,0.9149,0.9096,0.9111,75235.0
0.911,0.911,0.9071,0.9086,42625.3
0.9084,0.9087,0.9033,0.9035,107790.9
0.9033,0.9061,0.9026,0.9042,102278.9
0.9048,0.9077,0.9037,0.906,51838.5
0.9064,0.9123,0.9061,0.912,64070.2
0.912,0.9168,0.9111,0.9119,85499.6
0.9117,0.9149,0.9098,0.9139,106064.3
0.9141,0.9143,0.9122,0.9123,134814.4
0.9122,0.9158,0.9122,0.9157,154942.8
0.9158,0.9168,0.9121,0.913,39490.6
0.9132,0.916,0.9114,0.9121,63360.9
0.9126,0.9131,0.9097,0.9113,84178.3
0.9114,0.9114,0.9074,0.9101,121490.4
0.9103,0.9125,0.9097,0.9116,92916.7
0.9117,0.9137,0.9091,0.9094,279738.6
0.9096,0.91,0.9036,0.9045,544317.3
0.9045,0.9054,0.8976,0.8981,286042.9
0.8977,0.9002,0.8937,0.8942,335043.8
0.8944,0.9003,0.8944,0.8997,279124.7
0.8997,0.9047,0.898,0.9046,130104.0
0.9045,0.9051,0.9012,0.903,116538.4
0.9028,0.9037,0.8975,0.8976,136881.0
0.8978,0.8985,0.8929,0.8969,383315.8
0.8969,0.8983,0.8931,0.8938,155156.0
0.894,0.894,0.8878,0.8899,327389.1
0.8897,0.8917,0.887,0.889,235782.4
0.8889,0.8933,0.8887,0.8911,117851.5
0.8913,0.8947,0.8888,0.8942,92199.4
0.8944,0.8947,0.8918,0.8932,75594.3
0.8931,0.8931,0.8842,0.8849,217494.6
0.8849,0.8872,0.8802,0.8818,326416.9
0.8819,0.8822,0.8756,0.8768,571444.7
0.8769,0.8781,0.8693,0.8731,435222.9
0.8733,0.8735,0.8625,0.8638,503981.6
0.8639,0.8695,0.8597,0.8673,371757.8
0.867,0.8682,0.8557,0.8587,391374.4
0.8584,0.8664,0.8553,0.8562,330615.4
0.8565,0.8604,0.849,0.8513,504272.5
0.8517,0.8539,0.8437,0.8515,468092.2
0.8511,0.8549,0.8477,0.8523,316690.2
0.852,0.86,0.8504,0.8566,325783.9
0.8567,0.869,0.8521,0.8659,278220.6
0.8657,0.8751,0.8607,0.8722,426458.6
0.8723,0.873,0.8678,0.8691,189995.3
0.8693,0.8694,0.8598,0.8621,311646.3
0.8618,0.8642,0.8593,0.8609,99525.2
0.8608,0.8731,0.8608,0.8715,236868.7
0.8713,0.8734,0.8663,0.869,89493.8
0.8692,0.8742,0.8692,0.8721,119737.9
0.872,0.8722,0.868,0.8693,108025.5
0.8699,0.8718,0.8683,0.8686,55220.3
0.8685,0.8691,0.8654,0.8659,54490.5
0.8657,0.8657,0.8563,0.8564,124800.6
0.856,0.8571,0.8531,0.8546,260271.2
0.8543,0.863,0.8528,0.8626,189984.1
0.8625,0.8703,0.8613,0.8667,157839.0
0.8667,0.8727,0.8646,0.8698,98813.3
0.8701,0.8718,0.8679,0.8709,115907.6
0.871,0.8749,0.8669,0.8673,122088.5
0.8682,0.8717,0.8672,0.8709,59348.7
0.8711,0.88,0.8706,0.8759,131785.2
0.8753,0.8825,0.8753,0.8821,153965.1
0.8822,0.888,0.8818,0.8849,333486.0
0.8848,0.8915,0.8848,0.8907,158089.4
0.8904,0.8912,0.8833,0.8858,112853.6
0.8862,0.8865,0.8832,0.8864,53454.1
0.8868,0.8907,0.8863,0.8877,59242.3
0.8878,0.8888,0.8852,0.8855,84911.3
0.8855,0.8874,0.8846,0.8846,51157.5
0.8845,0.888,0.8842,0.8866,77941.7
0.8862,0.8865,0.8789,0.8839,216179.3
0.8837,0.8853,0.8798,0.8853,122725.4
0.885,0.8868,0.8809,0.8857,58027.7
0.8859,0.8882,0.8828,0.8835,78516.5
0.8834,0.8834,0.8779,0.8781,92846.6
0.8781,0.881,0.8745,0.8747,139824.6
0.8752,0.8762,0.8681,0.8699,217095.8
0.8693,0.8778,0.869,0.8767,132551.7
0.8772,0.8808,0.8751,0.8776,74706.5
0.8782,0.8976,0.8766,0.8917,495782.9
0.8914,0.8946,0.8864,0.8882,103769.1
0.8884,0.8924,0.8846,0.8911,105506.1
0.8913,0.8939,0.8856,0.8863,130185.7
0.8861,0.8922,0.8855,0.8918,106826.6
0.8924,0.894,0.8896,0.891,119890.6
0.891,0.8969,0.8904,0.8962,117518.3
0.8962,0.8997,0.893,0.893,324687.8
0.8927,0.8934,0.889,0.8899,104896.5
0.8895,0.8915,0.8879,0.8895,66521.6
0.8896,0.8903,0.8856,0.8862,107277.3
0.8867,0.89,0.8864,0.8894,41986.1
0.8895,0.8928,0.8873,0.8928,115757.5
0.893,0.8937,0.8857,0.8863,81070.6
0.8859,0.8875,0.8826,0.8843,86739.2
0.8846,0.8855,0.8817,0.8822,125556.0
0.8826,0.8833,0.8771,0.8776,113705.6
0.8768,0.8796,0.8752,0.8752,68403.7
0.8752,0.8754,0.8726,0.8743,73067.3
0.8741,0.8816,0.8739,0.8789,84357.7
0.8792,0.8827,0.8784,0.8821,27463.8
0.8826,0.8827,0.8793,0.8803,34954.4
0.8806,0.887,0.8795,0.8865,101079.6
0.8862,0.8877,0.8838,0.8856,95741.8
0.8855,0.8861,0.8832,0.8847,37821.4
0.8848,0.8852,0.8784,0.8785,149289.8
0.8784,0.8784,0.8755,0.8755,49702.4
0.8755,0.8795,0.8744,0.8763,101506.3
0.8764,0.8782,0.8734,0.8752,78852.6
0.8751,0.8751,0.8664,0.8673,216019.0
0.8673,0.87,0.8645,0.8682,185350.0
0.8685,0.8767,0.8683,0.8761,106353.5
0.8759,0.8784,0.8746,0.8746,56100.5
